datetime open high low close turnover/amount(index)
1997-10-17 1155.42 1180.22 1153.90 1176.49 4774029900
1997-10-20 1183.74 1191.04 1173.56 1187.36 4829096300
1997-10-21 1190.49 1192.33 1179.57 1191.86 4282884600
1997-10-22 1193.70 1203.02 1168.45 1177.52 6653317300
1997-10-23 1178.98 1186.07 1170.23 1173.35 4283534500
1997-10-24 1172.88 1179.81 1164.06 1178.31 3588265400
1997-10-27 1183.65 1235.94 1183.65 1235.83 6914509200
1997-10-28 1239.58 1241.83 1172.89 1177.92 5535180200
1997-10-29 1168.22 1188.80 1162.98 1184.08 3588121500
1997-10-30 1189.27 1207.97 1173.65 1174.84 5026978600
1997-10-31 1164.91 1181.51 1158.74 1180.39 2911499500
1997-11-03 1181.16 1185.07 1176.55 1180.84 2485202500
1997-11-04 1180.86 1190.47 1180.86 1184.70 2209279400
1997-11-05 1186.09 1194.67 1179.34 1194.04 4369456400
1997-11-06 1198.66 1203.08 1179.58 1181.11 4356875200
1997-11-07 1181.78 1195.74 1177.63 1195.14 3603232200
1997-11-10 1199.36 1202.58 1178.63 1185.78 4219254200
1997-11-11 1183.42 1187.74 1168.48 1186.63 2992529200
1997-11-12 1190.01 1193.53 1171.56 1174.19 2883434800
1997-11-13 1169.70 1185.28 1157.29 1185.02 2927517900
1997-11-14 1187.34 1208.83 1181.69 1197.83 3854694200
1997-11-17 1210.68 1213.23 1190.43 1191.33 2651546700
1997-11-18 1190.26 1193.31 1182.60 1183.34 2459010200
1997-11-19 1185.09 1191.96 1175.78 1181.63 2347195400
1997-11-20 1182.74 1189.49 1169.09 1172.43 2811422500
1997-11-21 1168.97 1169.10 1152.01 1158.56 2736144100
1997-11-24 1150.42 1150.56 1122.93 1124.94 2616503800
1997-11-25 1120.85 1131.13 1114.14 1125.53 3562739400
1997-11-26 1126.59 1143.82 1124.48 1143.82 2070071900
1997-11-27 1141.77 1141.97 1120.52 1122.52 2287806600
1997-11-28 1117.57 1139.64 1114.43 1139.63 2630263400
1997-12-01 1137.58 1139.29 1130.45 1133.08 2348490700
1997-12-02 1133.58 1139.59 1128.50 1130.17 1777467000
1997-12-03 1129.78 1130.32 1121.58 1122.55 1790538400
1997-12-04 1121.80 1137.01 1119.20 1135.86 2269438200
1997-12-05 1139.48 1144.22 1134.93 1136.20 2269563200
1997-12-08 1140.55 1143.08 1136.58 1139.35 1934358800
1997-12-09 1139.81 1148.17 1137.32 1148.17 2082659500
1997-12-10 1150.48 1158.99 1149.33 1157.83 2269650800
1997-12-11 1159.05 1159.75 1145.55 1159.17 2515715900
1997-12-12 1160.22 1165.81 1153.43 1153.83 2832869500
1997-12-15 1155.72 1168.06 1155.59 1168.03 3320915100
